Game ID,Date,Offense Name,Offense ID,Offense Games Played,Offense Home,Offense AVG,Offense OBP,Offense SLG,Offense OPS,Offense Runs,Defense Name,Defense ID,Defense Games Played,Pitcher Name,Pitcher ID,Pitcher Starts,Pitcher ERA,Pitcher WHIP,Pitcher Innings,Pitcher Strikeouts,Pitcher Runs
718721,4/3/2023,Cleveland Guardians,114,5,False,0.258,0.329,0.385,0.714,12,Oakland Athletics,133,4,James Kaprielian,621076,1,9.0,1.8,5.0,5,5
718721,4/3/2023,Oakland Athletics,133,4,True,0.226,0.299,0.361,0.66,11,Cleveland Guardians,114,5,Zach Plesac,668676,1,54.0,8.0,1.0,1,6
718723,4/3/2023,Detroit Tigers,116,4,False,0.169,0.226,0.265,0.491,7,Houston Astros,117,5,Hunter Brown,686613,1,7.71,1.93,4.2,5,4
718723,4/3/2023,Houston Astros,117,5,True,0.224,0.34,0.294,0.634,6,Detroit Tigers,116,4,Matthew Boyd,571510,1,4.15,1.15,4.1,3,2
718720,4/3/2023,Los Angeles Angels,108,4,False,0.27,0.356,0.433,0.789,7,Seattle Mariners,136,5,George Kirby,669923,1,8.31,2.31,4.1,5,4
718720,4/3/2023,Seattle Mariners,136,5,True,0.188,0.256,0.303,0.559,3,Los Angeles Angels,108,4,Reid Detmers,672282,1,3.86,1.5,4.2,7,3
718718,4/3/2023,Colorado Rockies,115,5,False,0.243,0.296,0.405,0.701,4,Los Angeles Dodgers,119,5,Michael Grove,675627,1,6.75,1.0,4.0,4,3
718718,4/3/2023,Los Angeles Dodgers,119,5,True,0.259,0.372,0.512,0.884,13,Colorado Rockies,115,5,Ryan Feltner,663372,1,9.64,1.93,4.2,7,5
718714,4/4/2023,Minnesota Twins,142,5,False,0.246,0.312,0.398,0.71,0,Miami Marlins,146,6,Sandy Alcantara,645261,2,1.84,0.75,9.0,5,0
718714,4/4/2023,Miami Marlins,146,6,True,0.233,0.282,0.365,0.647,1,Minnesota Twins,142,5,Kenta Maeda,628317,1,1.8,0.6,5.0,9,1
718708,4/4/2023,Toronto Blue Jays,141,5,False,0.294,0.372,0.383,0.755,4,Kansas City Royals,118,5,Kris Bubic,663460,1,3.6,1.6,5.0,4,2
718708,4/4/2023,Kansas City Royals,118,5,True,0.17,0.262,0.301,0.563,1,Toronto Blue Jays,141,5,Yusei Kikuchi,579328,1,1.8,0.8,5.0,2,1
718712,4/4/2023,New York Mets,121,6,False,0.207,0.313,0.295,0.608,0,Milwaukee Brewers,158,5,Wade Miley,489119,1,0.0,0.83,6.0,3,0
718712,4/4/2023,Milwaukee Brewers,158,5,True,0.275,0.364,0.437,0.801,9,New York Mets,121,6,Max Scherzer,453286,2,6.35,1.41,5.1,2,5
718705,4/4/2023,Detroit Tigers,116,5,False,0.202,0.25,0.306,0.556,6,Houston Astros,117,6,Framber Valdez,664285,2,1.5,1.25,7.0,9,3
718705,4/4/2023,Houston Astros,117,6,True,0.235,0.342,0.309,0.651,3,Detroit Tigers,116,5,Matt Manning,666159,1,3.18,1.41,5.2,4,2
718713,4/4/2023,Pittsburgh Pirates,134,5,False,0.2,0.281,0.364,0.645,4,Boston Red Sox,111,5,Nick Pivetta,601713,1,1.8,1.2,5.0,6,3
718713,4/4/2023,Boston Red Sox,111,5,True,0.276,0.35,0.486,0.836,1,Pittsburgh Pirates,134,5,Roansy Contreras,672710,1,1.59,0.71,5.2,2,1
718710,4/4/2023,Philadelphia Phillies,143,5,False,0.283,0.317,0.45,0.767,4,New York Yankees,147,5,Domingo German,593334,1,7.71,0.86,4.2,8,4
718710,4/4/2023,New York Yankees,147,5,True,0.236,0.326,0.453,0.779,1,Philadelphia Phillies,143,5,Matt Strahm,621381,1,0.0,0.4,4.0,3,0
718715,4/4/2023,Tampa Bay Rays,139,5,False,0.277,0.349,0.548,0.897,10,Washington Nationals,120,5,Chad Kuhl,641771,1,7.2,1.0,5.0,4,4
718715,4/4/2023,Washington Nationals,120,5,True,0.241,0.309,0.315,0.624,6,Tampa Bay Rays,139,5,Josh Fleming,676596,1,15.0,3.67,3.0,2,5
718716,4/4/2023,Chicago Cubs,112,5,False,0.273,0.343,0.398,0.741,12,Cincinnati Reds,113,5,Luis Cessa,570666,1,3.38,1.31,5.1,2,2
718716,4/4/2023,Cincinnati Reds,113,5,True,0.255,0.33,0.503,0.833,5,Chicago Cubs,112,5,Hayden Wesneski,669713,1,5.79,1.71,4.2,4,3
718711,4/4/2023,Atlanta Braves,144,5,False,0.28,0.351,0.474,0.825,4,St. Louis Cardinals,138,5,Steven Matz,571927,1,6.75,2.06,5.1,7,4
718711,4/4/2023,St. Louis Cardinals,138,5,True,0.344,0.392,0.497,0.889,1,Atlanta Braves,144,5,Dylan Dodd,689266,1,1.8,1.2,5.0,3,1
718709,4/4/2023,Baltimore Orioles,110,5,False,0.284,0.373,0.54,0.913,7,Texas Rangers,140,5,Andrew Heaney,571760,1,23.63,3.38,2.2,2,7
718709,4/4/2023,Texas Rangers,140,5,True,0.264,0.324,0.442,0.766,2,Baltimore Orioles,110,5,Kyle Gibson,502043,2,4.5,1.08,7.0,5,2
718703,4/4/2023,Colorado Rockies,115,6,False,0.239,0.293,0.395,0.688,2,Los Angeles Dodgers,119,6,Julio Urias,628711,2,1.5,0.75,6.0,6,0
718703,4/4/2023,Los Angeles Dodgers,119,6,True,0.258,0.371,0.532,0.903,5,Colorado Rockies,115,6,German Marquez,608566,2,4.76,1.06,5.1,4,4
718706,4/4/2023,Los Angeles Angels,108,5,False,0.259,0.34,0.402,0.742,2,Seattle Mariners,136,6,Luis Castillo,622491,2,0.0,0.43,5.2,6,0
718706,4/4/2023,Seattle Mariners,136,6,True,0.218,0.272,0.391,0.663,11,Los Angeles Angels,108,5,Jose Suarez,660761,1,12.46,1.85,4.1,4,7
