Date,Away Team,Away Line,Away Odds,Home Team,Home Line,Home Odds
2022-11-07,Cleveland Cavaliers,+1.0,-110,Los Angeles Clippers,-1.0,-110
2022-11-09,Dallas Mavericks,-7.0,-110,Orlando Magic,+7.0,-110
2022-11-09,Portland Trail Blazers,-5.5,-110,Charlotte Hornets,+5.5,-110
2022-11-09,Denver Nuggets,-6.0,-110,Indiana Pacers,+6.0,-110
2022-11-09,Detroit Pistons,+12.0,-110,Boston Celtics,-12.0,-110
2022-11-09,New York Knicks,+2.0,-110,Brooklyn Nets,-2.0,-110
2022-11-09,Utah Jazz,+3.5,-110,Atlanta Hawks,-3.5,-110
2022-11-09,Houston Rockets,+8.0,-110,Toronto Raptors,-8.0,-110
2022-11-09,Phoenix Suns,-4.5,-110,Minnesota Timberwolves,+4.5,-110
2022-11-09,New Orleans Hornets,+1.0,-115,Chicago Bulls,-1.0,-105
2022-11-09,Memphis Grizzlies,-7.0,-110,San Antonio Spurs,+7.0,-110
2022-11-09,Milwaukee Bucks,-8.0,-110,Oklahoma City Thunder,+8.0,-110
2022-11-09,Los Angeles Lakers,+6.0,-110,Los Angeles Clippers,-6.0,-110
2022-11-09,Cleveland Cavaliers,-5.5,-110,Sacramento Kings,+5.5,-110
2022-11-10,Dallas Mavericks,-3.0,-110,Washington Wizards,+3.0,-110
2022-11-10,Philadelphia 76ers,+1.0,-110,Atlanta Hawks,-1.0,-110
2022-11-10,Charlotte Hornets,+10.0,-108,Miami Heat,-10.0,-112
2022-11-10,Portland Trail Blazers,+7.0,-112,New Orleans Hornets,-7.0,-108
2022-11-11,Denver Nuggets,+5.0,-110,Boston Celtics,-5.0,-110
2022-11-11,Phoenix Suns,-7.0,-110,Orlando Magic,+7.0,-110
2022-11-11,Detroit Pistons,+7.0,-110,New York Knicks,-7.0,-110
2022-11-11,Toronto Raptors,-4.5,-110,Oklahoma City Thunder,+4.5,-110
2022-11-11,Milwaukee Bucks,-5.0,-110,San Antonio Spurs,+5.0,-110
2022-11-11,Minnesota Timberwolves,+6.5,-110,Memphis Grizzlies,-6.5,-110
2022-11-11,Cleveland Cavaliers,+3.0,-110,Golden State Warriors,-3.0,-110
2022-11-11,Sacramento Kings,-1.0,-110,Los Angeles Lakers,+1.0,-110
2022-11-12,Brooklyn Nets,+2.0,-110,Los Angeles Clippers,-2.0,-110
2022-11-12,Utah Jazz,-3.5,-115,Washington Wizards,+3.5,-105
2022-11-12,Toronto Raptors,-2.5,-110,Indiana Pacers,+2.5,-110
2022-11-12,Boston Celtics,-9.5,-114,Detroit Pistons,+9.5,-106
2022-11-12,Atlanta Hawks,+3.5,-110,Philadelphia 76ers,-3.5,-110
2022-11-12,Charlotte Hornets,+10.0,-110,Miami Heat,-10.0,-110
2022-11-12,Portland Trail Blazers,+4.0,-110,Dallas Mavericks,-4.0,-110
2022-11-12,Houston Rockets,+10.0,-110,New Orleans Hornets,-10.0,-110
2022-11-13,Oklahoma City Thunder,+6.0,-110,New York Knicks,-6.0,-110
2022-11-13,Memphis Grizzlies,-1.5,-110,Washington Wizards,+1.5,-110
2022-11-13,Minnesota Timberwolves,+6.0,-110,Cleveland Cavaliers,-6.0,-110
2022-11-13,Utah Jazz,+3.5,-110,Philadelphia 76ers,-3.5,-110
2022-11-13,Denver Nuggets,EVEN,-110,Chicago Bulls,EVEN,-110
2022-11-13,Golden State Warriors,-4.0,-110,Sacramento Kings,+4.0,-110
2022-11-13,Brooklyn Nets,-2.5,-110,Los Angeles Lakers,+2.5,-110
2022-11-14,Charlotte Hornets,+1.0,-110,Orlando Magic,-1.0,-110
2022-11-14,Toronto Raptors,-5.0,-110,Detroit Pistons,+5.0,-110
2022-11-14,Phoenix Suns,+1.5,-110,Miami Heat,-1.5,-110
2022-11-14,Oklahoma City Thunder,+11.0,-110,Boston Celtics,-11.0,-110
2022-11-14,Los Angeles Clippers,-5.5,-110,Houston Rockets,+5.5,-110
2022-11-14,Atlanta Hawks,+4.0,-110,Milwaukee Bucks,-4.0,-110
2022-11-14,San Antonio Spurs,+8.0,-112,Golden State Warriors,-8.0,-108
2022-11-15,Memphis Grizzlies,+1.5,-110,New Orleans Hornets,-1.5,-110
2022-11-15,Los Angeles Clippers,+7.0,-110,Dallas Mavericks,-7.0,-110
2022-11-15,New York Knicks,+4.5,-110,Utah Jazz,-4.5,-110
2022-11-15,San Antonio Spurs,+8.5,-110,Portland Trail Blazers,-8.5,-110
2022-11-15,Brooklyn Nets,EVEN,-110,Sacramento Kings,EVEN,-110
2022-11-16,Indiana Pacers,+2.0,-110,Charlotte Hornets,-2.0,-110
2022-11-16,Minnesota Timberwolves,-6.0,-110,Orlando Magic,+6.0,-110
2022-11-16,Oklahoma City Thunder,+5.0,-110,Washington Wizards,-5.0,-110
2022-11-16,Miami Heat,-1.5,-110,Toronto Raptors,+1.5,-110
2022-11-16,Boston Celtics,-3.0,-110,Atlanta Hawks,+3.0,-110
2022-11-16,Chicago Bulls,+3.0,-105,New Orleans Hornets,-3.0,-115
2022-11-16,Cleveland Cavaliers,+4.0,-110,Milwaukee Bucks,-4.0,-110
2022-11-16,Houston Rockets,+10.5,-110,Dallas Mavericks,-10.5,-110
2022-11-16,Golden State Warriors,+1.5,-106,Phoenix Suns,-1.5,-114
2022-11-16,New York Knicks,+9.0,-110,Denver Nuggets,-9.0,-110
2022-11-17,San Antonio Spurs,+7.5,-110,Sacramento Kings,-7.5,-110
2022-11-17,Brooklyn Nets,+2.5,-110,Portland Trail Blazers,-2.5,-110
2022-11-17,Detroit Pistons,+9.5,-110,Los Angeles Clippers,-9.5,-110
2022-11-18,Miami Heat,+2.0,-110,Washington Wizards,-2.0,-110
2022-11-18,Charlotte Hornets,+9.0,-110,Cleveland Cavaliers,-9.0,-110
2022-11-18,Milwaukee Bucks,+2.5,-110,Philadelphia 76ers,-2.5,-110
2022-11-18,Indiana Pacers,-2.5,-110,Houston Rockets,+2.5,-110
2022-11-18,Oklahoma City Thunder,+7.0,-110,Memphis Grizzlies,-7.0,-110
2022-11-18,Orlando Magic,+9.0,-110,Chicago Bulls,-9.0,-110
2022-11-18,Denver Nuggets,+6.5,-110,Dallas Mavericks,-6.5,-110
2022-11-18,Boston Celtics,-2.5,-110,New Orleans Hornets,+2.5,-110
2022-11-18,Phoenix Suns,-1.5,-110,Utah Jazz,+1.5,-110
